"""mov_galaxy_ID""","""imdbID""","""title""","""rating"""
"""049""","""0086879""","""Amadeus""","""8.3"""
"""050""","""0211915""","""Le fabuleux destin d'Amélie Poulain""","""8.4"""
"""051""","""0169547""","""American Beauty""","""8.4"""
"""052""","""0765429""","""American Gangster""","""7.8"""
"""054""","""0120586""","""American History X""","""8.6"""
"""057""","""0163651""","""American Pie""","""7.0"""
"""058""","""0112346""","""The American President""","""6.8"""
"""059""","""0144084""","""American Psycho""","""7.6"""
"""060""","""0101327""","""American Shaolin""","""5.8"""
"""061""","""0305206""","""American Splendor""","""7.5"""
"""062""","""0082010""","""An American Werewolf in London""","""7.6"""
"""063""","""1174732""","""An Education""","""7.3"""
"""064""","""0289848""","""Analyze That""","""5.9"""
"""065""","""0122933""","""Analyze This""","""6.7"""
"""066""","""0118617""","""Anastasia""","""7.1"""
"""067""","""0225071""","""Angel Eyes""","""5.6"""
"""068""","""4158638""","""Angels and Demons""","""8.4"""
"""069""","""0075686""","""Annie Hall""","""8.1"""
"""070""","""0254099""","""The Anniversary Party""","""6.3"""
"""071""","""0218817""","""Antitrust""","""6.1"""
"""072""","""0120587""","""Antz""","""6.6"""
"""073""","""0053604""","""The Apartment""","""8.3"""
"""074""","""0078788""","""Apocalypse Now""","""8.5"""
"""076""","""0118636""","""Apt Pupil""","""6.7"""
"""080""","""0106308""","""Army of Darkness""","""7.6"""
"""081""","""0119822""","""As Good as It Gets""","""7.7"""
"""082""","""0112401""","""Assassins""","""6.3"""
"""083""","""5034474""","""The Assignment""","""4.5"""
"""084""","""0132512""","""At First Sight""","""5.9"""
"""085""","""0118655""","""Austin Powers: International Man of Mystery""","""7.0"""
"""086""","""0145660""","""Austin Powers: The Spy Who Shagged Me""","""6.6"""
"""087""","""0174480""","""Autumn in New York""","""5.5"""
"""088""","""0499549""","""Avatar""","""7.8"""
"""089""","""0848228""","""The Avengers""","""8.1"""
"""091""","""0099077""","""Awakenings""","""7.8"""
"""092""","""0449467""","""Babel""","""7.5"""
"""093""","""0086927""","""Bachelor Party""","""6.3"""
"""097""","""0101393""","""Backdraft""","""6.7"""
"""098""","""0112442""","""Bad Boys""","""6.8"""
"""099""","""0047849""","""Bad Day at Black Rock""","""7.8"""
"""100""","""1095217""","""The Bad Lieutenant: Port of Call - New Orleans""","""6.7"""
"""101""","""0307987""","""Bad Santa""","""7.1"""
"""102""","""3865236""","""Into the Badlands""","""8.1"""
"""103""","""0215545""","""Bamboozled""","""6.5"""
"""104""","""0072684""","""Barry Lyndon""","""8.1"""
"""106""","""0264395""","""Basic""","""6.5"""
"""107""","""0103772""","""Basic Instinct""","""6.9"""
"""108""","""0115632""","""Basquiat""","""6.9"""
"""109""","""0096895""","""Batman""","""7.6"""
"""110""","""0103776""","""Batman Returns""","""7.0"""
"""111""","""0058946""","""La battaglia di Algeri""","""8.1"""
"""112""","""0357470""","""The Battle of Shaker Heights""","""6.1"""
"""113""","""0163978""","""The Beach""","""6.6"""
"""114""","""0118689""","""Bean""","""6.4"""
"""115""","""0115641""","""Beavis and Butt-Head Do America""","""6.8"""
"""116""","""1595680""","""Being Human""","""7.5"""
"""117""","""0120601""","""Being John Malkovich""","""7.8"""
"""118""","""0078841""","""Being There""","""8.0"""
"""119""","""0247199""","""The Believer""","""7.2"""
"""120""","""0120603""","""Beloved""","""5.9"""
"""122""","""0094737""","""Big""","""7.3"""
"""123""","""0173664""","""Bear in the Big Blue House""","""6.8"""
"""124""","""0319061""","""Big Fish""","""8.0"""
"""125""","""0118715""","""The Big Lebowski""","""8.2"""
"""126""","""0402850""","""The Big White""","""6.4"""
"""127""","""0056869""","""The Birds""","""7.7"""
"""128""","""0188453""","""Birthday Girl""","""6.1"""
"""129""","""0387877""","""The Black Dahlia""","""5.6"""
"""130""","""0096933""","""Black Rain""","""6.6"""
"""131""","""0462200""","""Black Snake Moan""","""7.0"""
"""132""","""0120611""","""Blade""","""7.1"""
"""133""","""0187738""","""Blade II""","""6.7"""
"""134""","""0083658""","""Blade Runner""","""8.2"""
"""135""","""0359013""","""Blade: Trinity""","""5.9"""
"""136""","""0124298""","""Blast from the Past""","""6.6"""
"""137""","""0086979""","""Blood Simple.""","""7.7"""
"""138""","""0221027""","""Blow""","""7.6"""
"""139""","""0090756""","""Blue Velvet""","""7.8"""
"""141""","""0106447""","""Bodies  Rest & Motion""","""5.7"""
"""142""","""0082089""","""Body Heat""","""7.4"""
"""143""","""1587669""","""Body of Proof""","""7.1"""
"""144""","""0103855""","""The Bodyguard""","""6.2"""
"""145""","""0460627""","""Bones""","""7.9"""
"""146""","""0099165""","""The Bonfire of the Vanities""","""5.5"""
"""147""","""0061418""","""Bonnie and Clyde""","""7.9"""
"""148""","""0118749""","""Boogie Nights""","""7.9"""
"""149""","""1037705""","""The Book of Eli""","""6.9"""
"""150""","""1300851""","""The Boondock Saints II: All Saints Day""","""6.3"""
"""151""","""0144117""","""The Boondock Saints""","""7.9"""
"""152""","""0115734""","""Bottle Rocket""","""7.1"""
"""153""","""0115736""","""Bound""","""7.4"""
"""154""","""1038919""","""The Bounty Hunter""","""5.5"""
"""155""","""0258463""","""The Bourne Identity""","""7.9"""
"""157""","""0440963""","""The Bourne Ultimatum""","""8.1"""
"""158""","""0112573""","""Braveheart""","""8.4"""
"""159""","""0088846""","""Brazil""","""8.0"""
"""161""","""0118771""","""Breakdown""","""6.9"""
"""162""","""0088847""","""The Breakfast Club""","""7.9"""
"""163""","""1623205""","""Oz the Great and Powerful""","""6.3"""
"""164""","""0163988""","""Bringing Out the Dead""","""6.8"""
"""165""","""0092699""","""Broadcast News""","""7.2"""
"""166""","""0115759""","""Broken Arrow""","""6.0"""
"""167""","""0913425""","""Los abrazos rotos""","""7.2"""
"""168""","""0913425""","""Los abrazos rotos""","""7.2"""
"""169""","""0315327""","""Bruce Almighty""","""6.7"""
"""170""","""0118276""","""Buffy the Vampire Slayer""","""8.2"""
"""171""","""0094812""","""Bull Durham""","""7.1"""
"""173""","""1126591""","""Burlesque""","""6.4"""
"""174""","""0887883""","""Burn After Reading""","""7.0"""
"""175""","""0289879""","""The Butterfly Effect""","""7.7"""
"""176""","""0115798""","""The Cable Guy""","""6.0"""
"""177""","""0379725""","""Capote""","""7.4"""
"""178""","""0112641""","""Casino""","""8.2"""
"""179""","""0162222""","""Cast Away""","""7.7"""
"""180""","""0264464""","""Catch Me If You Can""","""8.1"""
"""182""","""0209958""","""The Cell""","""6.3"""
"""183""","""0337921""","""Cellular""","""6.5"""
"""184""","""0824747""","""Changeling""","""7.8"""
"""185""","""0115369""","""Spin City""","""7.3"""
"""186""","""0056923""","""Charade""","""8.0"""
"""187""","""0305357""","""Charlie's Angels: Full Throttle""","""4.8"""
"""189""","""0221069""","""Chasing Sleep""","""6.4"""
"""190""","""0175526""","""Cherry Falls""","""5.1"""
"""191""","""0071315""","""Chinatown""","""8.2"""
"""192""","""0363771""","""The Chronicles of Narnia: The Lion the Witch and the Wardrobe""","""6.9"""
"""193""","""0124315""","""The Cider House Rules""","""7.4"""
"""194""","""0059037""","""The Cincinnati Kid""","""7.3"""
"""195""","""0095765""","""Nuovo Cinema Paradiso""","""8.5"""
"""196""","""1629244""","""Cirque du Freak: The Vampire's Assistant - Guide to Becoming a Vampire""","""6.3"""
"""197""","""0033467""","""Citizen Kane""","""8.4"""
"""198""","""0103976""","""City of Joy""","""6.4"""
"""199""","""0800320""","""Clash of the Titans""","""5.8"""
"""200""","""0352045""","""Clerks.""","""5.3"""
"""201""","""0106582""","""Cliffhanger""","""6.4"""
"""204""","""0109450""","""Cobb""","""6.5"""
"""205""","""0088936""","""Code of Silence""","""6.0"""
"""206""","""0159365""","""Cold Mountain""","""7.2"""
"""208""","""0233469""","""Collateral Damage""","""5.5"""
"""209""","""0270288""","""Confessions of a Dangerous Mind""","""7.1"""
"""210""","""0310910""","""Confidence""","""6.7"""
"""211""","""0360486""","""Constantine""","""6.9"""
"""212""","""0318374""","""The Cooler""","""7.0"""
"""213""","""0112722""","""Copycat""","""6.6"""
"""214""","""0327597""","""Coraline""","""7.7"""
"""216""","""0306685""","""Cradle 2 the Grave""","""5.8"""
"""217""","""0479884""","""Crank""","""7.0"""
"""218""","""0375679""","""Crash""","""7.8"""
"""220""","""0310924""","""Crime Spree""","""6.6"""
"""221""","""0190332""","""Wo hu cang long""","""7.9"""
"""222""","""0159382""","""Croupier""","""7.2"""
"""223""","""0132910""","""The Crow: Salvation""","""5.0"""
"""224""","""0109506""","""The Crow""","""7.6"""
"""225""","""0115986""","""The Crow: City of Angels""","""4.5"""
"""226""","""0139134""","""Cruel Intentions""","""6.8"""
"""227""","""0104036""","""The Crying Game""","""7.3"""
"""229""","""0421715""","""The Curious Case of Benjamin Button""","""7.8"""
"""230""","""1299377""","""Playing for Keeps""","""5.5"""
"""231""","""1226271""","""The Damned United""","""7.6"""
"""232""","""0099348""","""Dances with Wolves""","""8.0"""
"""234""","""0069945""","""Dark Star""","""6.5"""
"""235""","""0099365""","""Darkman""","""6.4"""
"""236""","""1279935""","""Date Night""","""6.3"""
"""238""","""0088993""","""Day of the Dead""","""7.2"""
"""239""","""0068451""","""The Day the Clown Cried""","""?"""
"""240""","""0970416""","""The Day the Earth Stood Still""","""5.5"""
"""241""","""0077405""","""Days of Heaven""","""8.0"""
"""242""","""0097165""","""Dead Poets Society""","""8.0"""
"""243""","""0795368""","""Death at a Funeral""","""7.4"""
"""244""","""0266452""","""Death to Smoochy""","""6.4"""
"""246""","""0104073""","""Deep Cover""","""6.9"""
"""247""","""0118956""","""Deep Rising""","""6.0"""
"""248""","""0077416""","""The Deer Hunter""","""8.2"""
"""249""","""2189221""","""Defiance""","""7.0"""
"""250""","""0407887""","""The Departed""","""8.5"""
"""251""","""0165710""","""Detroit Rock City""","""6.8"""
"""252""","""0112857""","""Devil in a Blue Dress""","""6.7"""
"""253""","""0118971""","""The Devil's Advocate""","""7.5"""
"""254""","""0095016""","""Die Hard""","""8.2"""
"""255""","""0104114""","""The Distinguished Gentleman""","""5.8"""
"""256""","""0486822""","""Disturbia""","""6.9"""
"""257""","""0097216""","""Do the Right Thing""","""7.9"""
"""258""","""0072890""","""Dog Day Afternoon""","""8.0"""
"""260""","""0119008""","""Donnie Brasco""","""7.8"""
"""261""","""0101761""","""The Doors""","""7.2"""
"""262""","""0036775""","""Double Indemnity""","""8.3"""
"""263""","""1127180""","""Drag Me to Hell""","""6.6"""
"""264""","""0082288""","""Dragonslayer""","""6.7"""
"""265""","""0157503""","""Drop Dead Gorgeous""","""6.5"""
"""266""","""0097243""","""A Dry White Season""","""7.0"""
"""271""","""1059786""","""Eagle Eye""","""6.6"""
"""272""","""0765443""","""Eastern Promises""","""7.7"""
"""273""","""0131369""","""Edtv""","""6.1"""
"""274""","""0109707""","""Ed Wood""","""7.9"""
"""276""","""0271367""","""Eight Legged Freaks""","""5.4"""
"""278""","""0126886""","""Election""","""7.3"""
"""279""","""0080678""","""The Elephant Man""","""8.2"""
"""280""","""0414055""","""Elizabeth: The Golden Age""","""6.9"""
"""281""","""0120660""","""Enemy of the State""","""7.3"""
"""282""","""0116209""","""The English Patient""","""7.4"""
"""283""","""0137494""","""Entrapment""","""6.2"""
"""286""","""0195685""","""Erin Brockovich""","""7.3"""
"""288""","""0082340""","""Escape from New York""","""7.2"""
"""289""","""0338013""","""Eternal Sunshine of the Spotless Mind""","""8.3"""
"""290""","""0106834""","""Even Cowgirls Get the Blues""","""4.3"""
"""291""","""0119081""","""Event Horizon""","""6.7"""
"""292""","""0083907""","""The Evil Dead""","""7.6"""
"""293""","""0092991""","""Evil Dead II""","""7.8"""
"""294""","""0082348""","""Excalibur""","""7.4"""
"""295""","""1225822""","""Extract""","""6.2"""
"""296""","""0097322""","""The Fabulous Baker Boys""","""6.8"""
"""297""","""0119094""","""Face/Off""","""7.3"""
"""298""","""0977855""","""Fair Game""","""6.8"""
"""299""","""0218967""","""The Family Man""","""6.7"""
"""300""","""1502712""","""Fantastic Four""","""4.3"""
"""301""","""0432283""","""Fantastic Mr. Fox""","""7.8"""
"""302""","""2802850""","""Fargo""","""9.0"""
"""303""","""0083929""","""Fast Times at Ridgemont High""","""7.2"""
"""304""","""0106873""","""Fatal Instinct""","""5.7"""
"""305""","""0120669""","""Fear and Loathing in Las Vegas""","""7.7"""
"""307""","""0091042""","""Ferris Bueller's Day Off""","""7.8"""
"""308""","""0119116""","""Le cinquième élément""","""7.7"""
"""309""","""0137523""","""Fight Club""","""8.8"""
"""310""","""0195714""","""Final Destination""","""6.7"""
"""311""","""0309593""","""Final Destination 2""","""6.2"""
"""313""","""0065724""","""Five Easy Pieces""","""7.5"""
"""314""","""0089155""","""Fletch""","""6.9"""
"""315""","""0109813""","""The Flintstones""","""4.8"""
"""316""","""0109830""","""Forrest Gump""","""8.8"""
"""317""","""0005353""","""Four Feathers""","""7.3"""
"""318""","""0113101""","""Four Rooms""","""6.7"""
"""319""","""0488120""","""Fracture""","""7.2"""
"""320""","""0113117""","""French Kiss""","""6.5"""
"""321""","""1976009""","""Victor Frankenstein""","""6.0"""
"""322""","""0329101""","""Freddy vs. Jason""","""5.8"""
"""323""","""0067116""","""The French Connection""","""7.8"""
"""324""","""5531470""","""Frequency""","""7.7"""
"""325""","""0758746""","""Friday the 13th""","""5.6"""
"""326""","""0097388""","""Friday the 13th Part VIII: Jason Takes Manhattan""","""4.6"""
"""327""","""0116367""","""From Dusk Till Dawn""","""7.3"""
"""328""","""0460740""","""Cashback""","""7.2"""
"""329""","""0978759""","""Frozen River""","""7.2"""
"""330""","""0106977""","""The Fugitive""","""7.8"""
"""331""","""1201167""","""Funny People""","""6.4"""
"""332""","""0119173""","""G.I. Jane""","""5.9"""
"""333""","""1046173""","""G.I. Joe: The Rise of Cobra""","""5.8"""
"""334""","""0425055""","""Game 6""","""5.9"""
"""335""","""0119174""","""The Game""","""7.8"""
"""336""","""1034032""","""Gamer""","""5.8"""
"""337""","""0083987""","""Gandhi""","""8.1"""
"""338""","""2719784""","""Gang Related""","""7.6"""
"""339""","""0217505""","""Gangs of New York""","""7.5"""
"""340""","""0119177""","""Gattaca""","""7.8"""
"""341""","""0208988""","""Get Carter""","""5.1"""
"""343""","""0068638""","""The Getaway""","""7.5"""
"""344""","""0099653""","""Ghost""","""7.0"""
"""346""","""0259324""","""Ghost Rider""","""5.2"""
"""347""","""1187064""","""Triangle""","""6.9"""
"""348""","""0162346""","""Ghost World""","""7.4"""
"""349""","""1289401""","""Ghostbusters""","""5.4"""
"""350""","""0097428""","""Ghostbusters II""","""6.5"""
"""351""","""0210070""","""Ginger Snaps""","""6.8"""
"""352""","""0172495""","""Gladiator""","""8.5"""
"""354""","""0139239""","""Go""","""7.3"""
"""355""","""0068646""","""The Godfather""","""9.2"""
"""356""","""0071562""","""The Godfather: Part II""","""9.0"""
"""357""","""0120684""","""Gods and Monsters""","""7.5"""
"""358""","""4262980""","""Shin Gojira""","""6.9"""
"""359""","""0187078""","""Gone in Sixty Seconds""","""6.5"""
"""361""","""0119217""","""Good Will Hunting""","""8.3"""
"""362""","""0348836""","""Gothika""","""5.8"""
"""363""","""0061722""","""The Graduate""","""8.0"""
"""364""","""1205489""","""Gran Torino""","""8.2"""
"""365""","""0113101""","""Four Rooms""","""6.7"""
"""366""","""0338075""","""Grand Theft Parsons""","""6.1"""
"""368""","""0120689""","""The Green Mile""","""8.5"""
"""369""","""0087363""","""Gremlins""","""7.2"""
"""370""","""0099700""","""Gremlins 2: The New Batch""","""6.3"""
"""371""","""0099703""","""The Grifters""","""7.0"""
"""372""","""0119229""","""Grosse Pointe Blank""","""7.4"""
"""373""","""0107048""","""Groundhog Day""","""8.0"""
"""374""","""0391198""","""The Grudge""","""5.9"""
"""375""","""0113243""","""Hackers""","""6.2"""
"""376""","""0113253""","""Halloween: The Curse of Michael Myers""","""5.0"""
"""377""","""0448157""","""Hancock""","""6.4"""
"""378""","""1119646""","""The Hangover""","""7.8"""
"""379""","""0091167""","""Hannah and Her Sisters""","""8.0"""
"""382""","""0095016""","""Die Hard""","""8.2"""
"""383""","""0099739""","""Hard to Kill""","""5.7"""
"""384""","""0366551""","""Harold & Kumar Go to White Castle""","""7.1"""
"""385""","""0171363""","""The Haunting""","""4.9"""
"""386""","""1001508""","""He's Just Not That Into You""","""6.4"""
"""387""","""0113277""","""Heat""","""8.2"""
"""388""","""0097493""","""Heathers""","""7.3"""
"""389""","""0110005""","""Heavenly Creatures""","""7.4"""
"""391""","""0317640""","""The Hebrew Hammer""","""6.2"""
"""393""","""0095294""","""Hellbound: Hellraiser II""","""6.5"""
"""394""","""0167190""","""Hellboy""","""6.8"""
"""395""","""0411477""","""Hellboy II: The Golden Army""","""7.0"""
"""396""","""0093177""","""Hellraiser""","""7.0"""
"""397""","""0104409""","""Hellraiser III: Hell on Earth""","""5.4"""
"""398""","""0337636""","""Hellraiser: Deader""","""4.6"""
"""399""","""0274546""","""Hellraiser: Hellseeker""","""5.1"""
"""400""","""0122529""","""Henry Fool""","""7.3"""
"""401""","""0146882""","""High Fidelity""","""7.5"""
"""402""","""0091203""","""Highlander""","""7.2"""
"""403""","""0144964""","""Highlander: Endgame""","""4.6"""
"""404""","""0032599""","""His Girl Friday""","""8.0"""
"""405""","""0371724""","""The Hitchhiker's Guide to the Galaxy""","""6.8"""
"""406""","""0164052""","""Hollow Man""","""5.7"""
"""407""","""0829193""","""Honeydripper""","""6.8"""
"""408""","""0119314""","""The Horse Whisperer""","""6.6"""
"""409""","""0431197""","""The Kingdom""","""7.1"""
"""410""","""0340163""","""Hostage""","""6.6"""
"""411""","""1231587""","""Hot Tub Time Machine""","""6.4"""
"""412""","""0395169""","""Hotel Rwanda""","""8.1"""
"""413""","""0251736""","""House of 1000 Corpses""","""6.0"""
"""414""","""0102070""","""Hudson Hawk""","""5.7"""
"""415""","""0110074""","""The Hudsucker Proxy""","""7.3"""
"""416""","""0219822""","""Human Nature""","""6.4"""
"""417""","""0277027""","""I Am Sam""","""7.6"""
"""418""","""1045772""","""I Love You Phillip Morris""","""6.6"""
"""419""","""0130018""","""I Still Know What You Did Last Summer""","""4.6"""
"""420""","""0110097""","""I'll Do Anything""","""5.6"""
"""421""","""0343818""","""I,  Robot""","""7.1"""
"""422""","""0119349""","""The Ice Storm""","""7.5"""
"""423""","""1054606""","""The Imaginarium of Doctor Parnassus""","""6.8"""
"""424""","""1226774""","""In the Loop""","""7.5"""
"""426""","""0116629""","""Independence Day""","""6.9"""
"""427""","""0097576""","""Indiana Jones and the Last Crusade""","""8.3"""
"""428""","""0082971""","""Raiders of the Lost Ark""","""8.5"""
"""429""","""0087469""","""Indiana Jones and the Temple of Doom""","""7.6"""
"""430""","""0082971""","""Raiders of the Lost Ark""","""8.5"""
"""432""","""0140352""","""The Insider""","""7.9"""
"""433""","""0278504""","""Insomnia""","""7.2"""
"""434""","""0110148""","""Interview with the Vampire: The Vampire Chronicles""","""7.6"""
"""435""","""0758758""","""Into the Wild""","""8.1"""
"""436""","""0138524""","""Intolerable Cruelty""","""6.3"""
"""437""","""0119381""","""Inventing the Abbotts""","""6.4"""
"""438""","""1058017""","""The Invention of Lying""","""6.4"""
"""439""","""0399201""","""The Island""","""6.9"""
"""442""","""0038650""","""It's a Wonderful Life""","""8.6"""
"""444""","""0317740""","""The Italian Job""","""7.0"""
"""445""","""0366627""","""The Jacket""","""7.1"""
"""446""","""0119396""","""Jackie Brown""","""7.5"""
"""449""","""0211443""","""Jason X""","""4.4"""
"""450""","""0073195""","""Jaws""","""8.0"""
"""451""","""0077766""","""Jaws 2""","""5.7"""
"""452""","""0261392""","""Jay and Silent Bob Strike Back""","""6.9"""
"""453""","""0104549""","""Jennifer Eight""","""6.2"""
"""455""","""0116695""","""Jerry Maguire""","""7.3"""
"""456""","""0102138""","""JFK""","""8.0"""
"""457""","""0425151""","""Jimmy and Judy""","""6.2"""
"""458""","""0251160""","""John Q""","""7.1"""
"""459""","""0467406""","""Juno""","""7.5"""
"""460""","""0107290""","""Jurassic Park""","""8.1"""
"""461""","""0163025""","""Jurassic Park III""","""5.9"""
"""462""","""0119567""","""The Lost World: Jurassic Park""","""6.5"""
"""464""","""0107302""","""Kalifornia""","""6.7"""
"""466""","""0113540""","""Kids""","""7.0"""
"""467""","""0266697""","""Kill Bill: Vol. 1""","""8.1"""
"""468""","""0110265""","""Killing Zoe""","""6.5"""
"""469""","""0360717""","""King Kong""","""7.2"""
"""470""","""0085794""","""The King of Comedy""","""7.8"""
"""472""","""0367882""","""Indiana Jones and the Kingdom of the Crystal Skull""","""6.2"""
"""474""","""0067309""","""Klute""","""7.2"""
"""475""","""0079417""","""Kramer vs. Kramer""","""7.8"""
"""476""","""0119485""","""Kundun""","""7.0"""
"""477""","""0441773""","""Kung Fu Panda""","""7.6"""
"""478""","""0119488""","""L.A. Confidential""","""8.3"""
"""481""","""0335245""","""The Ladykillers""","""6.2"""
"""482""","""0139414""","""Lake Placid""","""5.6"""
"""483""","""0418819""","""Land of the Dead""","""6.2"""
"""484""","""0102266""","""The Last Boy Scout""","""6.9"""
"""485""","""1046947""","""Last Chance Harvey""","""6.7"""
"""486""","""0081031""","""The Last Flight of Noah's Ark""","""5.8"""
"""487""","""0104691""","""The Last of the Mohicans""","""7.8"""
"""488""","""0325710""","""The Last Samurai""","""7.7"""
"""489""","""0824758""","""The Last Station""","""7.0"""
"""490""","""1197624""","""Law Abiding Citizen""","""7.4"""
"""491""","""0113627""","""Leaving Las Vegas""","""7.6"""
"""494""","""5114356""","""Legion""","""8.7"""
"""495""","""2802154""","""Leviafan""","""7.6"""
"""496""","""0119528""","""Liar Liar""","""6.8"""
"""497""","""5442430""","""Life""","""7.0"""
"""498""","""0264796""","""Life as a House""","""7.5"""
"""499""","""0289992""","""The Life of David Gale""","""7.6"""
"""500""","""0102307""","""Light Sleeper""","""6.8"""
"""501""","""0165854""","""The Limey""","""7.1"""
"""503""","""0417907""","""Little Athens""","""5.6"""
"""505""","""0185431""","""Little Nicky""","""5.3"""
"""506""","""0113677""","""Living in Oblivion""","""7.6"""
"""507""","""0120735""","""Lock  Stock and Two Smoking Barrels""","""8.2"""
"""509""","""0116905""","""Lone Star""","""7.6"""
"""510""","""0116908""","""The Long Kiss Goodnight""","""6.7"""
"""511""","""0113690""","""Lord of Illusions""","""6.0"""
"""512""","""0120737""","""The Lord of the Rings: The Fellowship of the Ring""","""8.8"""
"""513""","""0167260""","""The Lord of the Rings: The Return of the King""","""8.9"""
"""515""","""0399295""","""Lord of War""","""7.6"""
"""516""","""0480255""","""The Losers""","""6.4"""
"""517""","""0116922""","""Lost Highway""","""7.6"""
"""518""","""0029162""","""Lost Horizon""","""7.8"""
"""519""","""0120738""","""Lost in Space""","""5.1"""
"""520""","""0335266""","""Lost in Translation""","""7.8"""
"""521""","""0573921""","""Love and Basketball""","""7.3"""
"""523""","""0175880""","""Magnolia""","""8.0"""
"""524""","""0268995""","""The Majestic""","""6.9"""
"""525""","""0097815""","""Major League""","""7.2"""
"""526""","""0104797""","""Malcolm X""","""7.7"""
"""527""","""0328099""","""Malibu's Most Wanted""","""5.1"""
"""528""","""0120744""","""The Man in the Iron Mask""","""6.5"""
"""529""","""0328107""","""Man on Fire""","""7.7"""
"""530""","""0125664""","""Man on the Moon""","""7.4"""
"""531""","""1013743""","""Knight and Day""","""6.3"""
"""532""","""0049470""","""The Man Who Knew Too Much""","""7.5"""
"""533""","""0243133""","""The Man Who Wasn't There""","""7.6"""
"""534""","""0368008""","""The Manchurian Candidate""","""6.6"""
"""535""","""0091474""","""Manhunter""","""7.2"""
"""536""","""0757361""","""Margot at the Wedding""","""6.1"""
"""537""","""0112851""","""Desperado""","""7.2"""
"""538""","""1485544""","""Ziggy Marley and Melody Makers/Tevin Campbell/Public Enemy""","""?"""
"""539""","""0048356""","""Marty""","""7.7"""
"""541""","""0110475""","""The Mask""","""6.9"""
"""543""","""0133093""","""The Matrix""","""8.7"""
"""544""","""0467197""","""Max Payne""","""5.4"""
"""545""","""0119643""","""Meet Joe Black""","""7.1"""
"""547""","""1001526""","""Megamind""","""7.3"""
"""548""","""0209144""","""Memento""","""8.5"""
"""549""","""0119654""","""Men in Black""","""7.3"""
"""550""","""1234548""","""The Men Who Stare at Goats""","""6.2"""
"""551""","""0090095""","""Subway""","""6.5"""
"""552""","""0086759""","""Miami Vice""","""7.5"""
"""553""","""0064665""","""Midnight Cowboy""","""7.9"""
"""555""","""0113820""","""Mighty Morphin Power Rangers: The Movie""","""5.1"""
"""556""","""1013753""","""Milk""","""7.6"""
"""558""","""0119675""","""Mimic""","""5.9"""
"""560""","""0181689""","""Minority Report""","""7.7"""
"""562""","""0790686""","""Mirrors""","""6.2"""
"""564""","""0117060""","""Mission: Impossible""","""7.1"""
"""565""","""0120755""","""Mission: Impossible II""","""6.1"""
"""566""","""0183523""","""Mission to Mars""","""5.6"""
"""567""","""0166276""","""Monkeybone""","""4.7"""
"""569""","""1182345""","""Moon""","""7.9"""
"""570""","""0093565""","""Moonstruck""","""7.1"""
"""571""","""0422774""","""Are We Done Yet?""","""4.0"""
"""572""","""0780571""","""Mr. Brooks""","""7.4"""
"""573""","""0027996""","""Mr. Deeds Goes to Town""","""8.0"""
"""575""","""0119280""","""Mrs Brown""","""7.3"""
"""577""","""0166924""","""Mulholland Dr.""","""8.0"""
"""578""","""0140397""","""Mumford""","""6.9"""
"""579""","""2345759""","""The Mummy""","""5.4"""
"""580""","""0166943""","""Music of the Heart""","""6.7"""
"""581""","""0119738""","""My Best Friend's Wedding""","""6.3"""
"""582""","""0102492""","""My Girl""","""6.8"""
